    Gender  StudyHours  Attendance  Assignments  Pass
     Male          5          85           80     1
   Female          3          70           65     0
     Male          7          90           95     1
   Female          2          60           55     0
     Male          6          88           85     1
   Female          4          75           70     1
     Male          2          55           50     0
   Female          8          95           90     1
     Male          6          65           60     0
   Female          6          85           80     1
    Male           7          92           88     1
  Female           2          50           45     0
    Male           4          72           68     0
  Female           7          90           85     1
    Male           8          96           92     1
  Female           3          68           60     0
    Male           5          80           75     1
  Female           5          82           78     1
    Male           2          58           52     0
  Female           8          94           91     1
